$ Aurora File: n15x15.gtr.au.dat	Date: 	Misc: 
$ Atem File: n15x15.gtr
VARIABLE W = 1.5e-05
VARIABLE L = 1.5e-05
VARIABLE T = 25
VARIABLE REGION = 0 

TABLE VGS  VBS  VDS  ID  
8.000000e-01   0.000000e+00   1.000000e+00   1.393500e-06   
9.000000e-01   0.000000e+00   1.000000e+00   3.030900e-06   
1.000000e+00   0.000000e+00   1.000000e+00   5.449400e-06   
1.100000e+00   0.000000e+00   1.000000e+00   8.631200e-06   
1.200000e+00   0.000000e+00   1.000000e+00   1.262900e-05   
1.300000e+00   0.000000e+00   1.000000e+00   1.742700e-05   
1.400000e+00   0.000000e+00   1.000000e+00   2.297500e-05   
1.500000e+00   0.000000e+00   1.000000e+00   2.934800e-05   
1.600000e+00   0.000000e+00   1.000000e+00   3.649600e-05   
1.700000e+00   0.000000e+00   1.000000e+00   4.434800e-05   
1.800000e+00   0.000000e+00   1.000000e+00   5.299800e-05   
1.900000e+00   0.000000e+00   1.000000e+00   6.228100e-05   
2.000000e+00   0.000000e+00   1.000000e+00   7.188700e-05   
2.100000e+00   0.000000e+00   1.000000e+00   8.172300e-05   
2.200000e+00   0.000000e+00   1.000000e+00   9.148000e-05   
2.300000e+00   0.000000e+00   1.000000e+00   1.012400e-04   
2.400000e+00   0.000000e+00   1.000000e+00   1.108800e-04   
2.500000e+00   0.000000e+00   1.000000e+00   1.203400e-04   
2.600000e+00   0.000000e+00   1.000000e+00   1.297500e-04   
2.700000e+00   0.000000e+00   1.000000e+00   1.390200e-04   
2.800000e+00   0.000000e+00   1.000000e+00   1.480800e-04   
2.900000e+00   0.000000e+00   1.000000e+00   1.570700e-04   
3.000000e+00   0.000000e+00   1.000000e+00   1.659200e-04   
3.100000e+00   0.000000e+00   1.000000e+00   1.745600e-04   
3.200000e+00   0.000000e+00   1.000000e+00   1.831000e-04   
3.300000e+00   0.000000e+00   1.000000e+00   1.914200e-04   
3.400000e+00   0.000000e+00   1.000000e+00   1.996400e-04   
3.500000e+00   0.000000e+00   1.000000e+00   2.077000e-04   
3.600000e+00   0.000000e+00   1.000000e+00   2.155100e-04   
0.000000e+00   -1.100000e+00   1.000000e+00   2.000000e-14   
1.000000e-01   -1.100000e+00   1.000000e+00   4.000000e-14   
2.000000e-01   -1.100000e+00   1.000000e+00   1.800000e-13   
3.000000e-01   -1.100000e+00   1.000000e+00   2.400000e-13   
4.000000e-01   -1.100000e+00   1.000000e+00   2.500000e-13   
5.000000e-01   -1.100000e+00   1.000000e+00   3.900000e-13   
6.000000e-01   -1.100000e+00   1.000000e+00   4.500000e-12   
7.000000e-01   -1.100000e+00   1.000000e+00   1.056500e-10   
8.000000e-01   -1.100000e+00   1.000000e+00   2.336200e-09   
9.000000e-01   -1.100000e+00   1.000000e+00   4.019800e-08   
1.000000e+00   -1.100000e+00   1.000000e+00   3.178800e-07   
1.100000e+00   -1.100000e+00   1.000000e+00   1.148700e-06   
1.200000e+00   -1.100000e+00   1.000000e+00   2.727600e-06   
1.300000e+00   -1.100000e+00   1.000000e+00   5.123200e-06   
1.400000e+00   -1.100000e+00   1.000000e+00   8.334300e-06   
1.500000e+00   -1.100000e+00   1.000000e+00   1.241400e-05   
1.600000e+00   -1.100000e+00   1.000000e+00   1.733800e-05   
1.700000e+00   -1.100000e+00   1.000000e+00   2.305600e-05   
1.800000e+00   -1.100000e+00   1.000000e+00   2.965100e-05   
1.900000e+00   -1.100000e+00   1.000000e+00   3.705900e-05   
2.000000e+00   -1.100000e+00   1.000000e+00   4.518300e-05   
2.100000e+00   -1.100000e+00   1.000000e+00   5.406700e-05   
2.200000e+00   -1.100000e+00   1.000000e+00   6.335700e-05   
2.300000e+00   -1.100000e+00   1.000000e+00   7.292300e-05   
2.400000e+00   -1.100000e+00   1.000000e+00   8.251700e-05   
2.500000e+00   -1.100000e+00   1.000000e+00   9.199300e-05   
2.600000e+00   -1.100000e+00   1.000000e+00   1.014600e-04   
2.700000e+00   -1.100000e+00   1.000000e+00   1.108100e-04   
2.800000e+00   -1.100000e+00   1.000000e+00   1.199800e-04   
2.900000e+00   -1.100000e+00   1.000000e+00   1.290800e-04   
3.000000e+00   -1.100000e+00   1.000000e+00   1.380500e-04   
3.100000e+00   -1.100000e+00   1.000000e+00   1.468200e-04   
3.200000e+00   -1.100000e+00   1.000000e+00   1.555000e-04   
3.300000e+00   -1.100000e+00   1.000000e+00   1.639600e-04   
3.400000e+00   -1.100000e+00   1.000000e+00   1.723300e-04   
3.500000e+00   -1.100000e+00   1.000000e+00   1.805400e-04   
3.600000e+00   -1.100000e+00   1.000000e+00   1.885200e-04   
0.000000e+00   -2.200000e+00   1.000000e+00   -1.200000e-13   
1.000000e-01   -2.200000e+00   1.000000e+00   -6.000000e-14   
2.000000e-01   -2.200000e+00   1.000000e+00   4.000000e-14   
3.000000e-01   -2.200000e+00   1.000000e+00   1.300000e-13   
4.000000e-01   -2.200000e+00   1.000000e+00   1.600000e-13   
5.000000e-01   -2.200000e+00   1.000000e+00   2.100000e-13   
